Identifier,Company Name,Company Type,Country,Year Founded,Company Status,Stock Exchange,Price,Market Cap (MM) (USD),Number of Employees,Gross Profit (MM) (USD),Net Income (MM) (USD),Earnings Per Share (EPS) (Basic) (USD),Earnings Per Share (EPS) (Diluted) (USD),Common Shares Outstanding (MM),Total Debt (MM) (USD),Cash & Short Term Investments (MM) (USD),Book Value Per Share (BVPS) (MM) (USD),Long Term Debt (MM) (USD),Total Assets (MM) (USD),Free Cash Flow (FCF) (MM) (USD),Capital Expenditures (MM) (USD),Dividend Yield,Price to Earnings (P/E),Return on Equity (ROE),Interest Coverage,Total Debt/EBITDA,Sales Growth
000TRY-E,Procter & Gamble Co.,Public,United States,1837,Active,NYSE,150.07,347806.00,107000.00,"39,406.00","14,653.00",6.07,5.90,"2,362.10","35,424.00","8,246.00",19.46,"24,973.00","120,829.00","4,787.00","3,062.00",2.43,25.72,31.39,29.85,1.64,2.27
000F9X-E,Costco Wholesale Corp.,Public,United States,1983,Active,NASDAQ,560.90,308378.00,316000.00,"29,704.00","6,292.00",14.18,14.16,442.79,"10,536.00","15,234.00",56.59,"9,106.00","68,994.00","5,494.00","4,323.00",0.71,38.44,27.54,50.71,0.74,6.76
000SY8-E,Oracle Corp.,Public,United States,1977,Active,NYSE,108.05,301474.00,164000.00,"32,808.00","8,503.00",3.15,3.07,"2,713.00","95,346.00","10,187.00",0.40,"90,420.00","134,384.00","4,802.00","8,695.00",1.28,34.46,-,3.93,4.55,17.70
000PQC-E,"Merck & Co., Inc.",Public,United States,1891,Active,NYSE,103.38,301270.00,69000.00,"41,267.00","14,519.00",5.73,5.71,"2,537.83","31,985.00","13,271.00",18.12,"29,758.00","109,160.00","7,695.00","4,388.00",2.52,19.43,34.50,20.27,1.31,19.56
00DYYX-E,"AbbVie, Inc.",Public,United States,2011,Active,NYSE,141.42,290908.00,50000.00,"41,609.00","11,782.00",6.65,6.63,"1,769.18","64,191.00","9,229.00",9.75,"59,889.00","138,805.00","14,205.00",695.00,3.53,24.39,72.15,9.63,2.04,3.30
000BK7-E,"Advanced Micro Devices, Inc.",Public,United States,1969,Active,NASDAQ,112.25,281469.00,25000.00,"8,503.00","1,320.00",0.85,0.84,"1,612.00","2,956.00","5,855.00",33.96,"2,863.00","67,580.00","3,115.00",450.00,0.00,77.09,4.24,18.34,0.42,43.61
000BJT-E,"Adobe, Inc.",Public,United States,1982,Active,NASDAQ,563.66,276421.00,29945.00,"16,846.00","5,428.00",11.88,11.83,455.00,"4,080.00","7,842.00",36.30,"4,007.00","29,779.00","6,942.00",413.00,0.00,51.79,35.51,61.21,0.48,11.12
0058W5-E,"Salesforce, Inc.",Public,United States,1999,Active,NYSE,207.47,271892.00,79390.00,"20,408.00",208.00,0.21,0.21,"1,009.00","14,879.00","12,508.00",57.84,"12,850.00","102,583.00","6,313.00",798.00,0.00,805.23,0.36,6.47,1.56,18.35
000DP6-E,Chevron Corp.,Public,United States,1906,Active,NYSE,147.61,267703.00,43846.00,"50,121.00","35,465.00",18.37,18.28,"1,915.22","27,370.00","18,531.00",83.17,"24,295.00","257,709.00","27,976.00","10,658.00",3.16,9.82,23.77,65.84,0.41,51.24
000DWY-E,The Coca-Cola Co.,Public,United States,1886,Active,NYSE,56.74,258670.00,82500.00,"24,809.00","9,542.00",2.20,2.19,"4,328.00","40,603.00","11,631.00",5.57,"37,490.00","92,763.00","1,918.00","1,484.00",2.77,29.00,40.51,13.88,2.96,10.63
000R3K-E,Bank of America Corp.,Public,United States,1904,Active,NYSE,28.42,254980.00,-,-,"26,515.00",3.10,3.08,"7,895.46","618,189.00",-,33.34,"302,204.00","3,179,876.00",-,-,2.73,10.93,9.39,-,-,48.78
00C5YS-E,Accenture Plc,Public,Ireland,2009,Active,NYSE,313.49,228162.00,733000.00,"20,703.74","6,871.56",10.90,10.77,628.27,"3,149.03","9,049.61",40.89,"2,353.81","51,245.31","6,171.66",528.17,1.38,30.06,28.75,207.16,0.01,4.09
000T99-E,"PepsiCo, Inc.",Public,United States,1965,Active,NASDAQ,166.79,227924.00,315000.00,"46,122.00","8,910.00",6.46,6.42,"1,377.00","41,487.00","5,348.00",12.45,"37,590.00","92,187.00",-568.00,"5,207.00",2.50,28.12,53.69,15.21,2.67,8.73
000PLS-E,McDonald's Corp.,Public,United States,1955,Active,NYSE,267.87,217987.00,150000.00,"13,081.60","6,177.40",8.39,8.33,744.80,"48,699.00","2,583.80",-8.06,"48,037.90","50,435.60","1,319.30","1,899.20",2.15,31.62,-,7.91,2.94,-0.17
06LJVN-E,"Thermo Fisher Scientific, Inc.",Public,United States,1960,Active,NYSE,454.74,213181.00,130000.00,"19,011.00","6,950.00",17.73,17.64,390.51,"36,073.00","8,536.00",112.62,"30,222.00","97,154.00","6,456.00","2,243.00",0.22,31.22,16.40,11.74,2.90,14.55
002X9M-E,"Netflix, Inc.",Public,United States,1997,Active,NASDAQ,432.36,211378.00,12800.00,"12,447.27","4,491.92",10.10,9.95,445.35,"16,931.56","6,058.45",46.65,"16,575.58","48,594.77","1,618.53",407.73,0.00,29.63,24.53,7.98,0.72,6.46
000DS6-E,"Cisco Systems, Inc.",Public,United States,1984,Active,NASDAQ,53.01,208335.00,84900.00,"35,857.00","12,613.00",3.08,3.07,"4,066.00","9,411.00","26,337.00",10.91,"7,365.00","101,852.00","12,735.00",849.00,2.96,16.95,29.99,36.37,0.49,10.55
000N01-E,Intel Corp.,Public,United States,1968,Active,NASDAQ,38.14,203000.00,131900.00,"26,681.00","8,014.00",1.95,1.94,"4,137.00","42,460.00","28,338.00",24.52,"37,920.00","182,103.00","-15,614.00","25,050.00",5.52,13.59,8.14,1.82,2.74,-20.21
000BG2-E,Abbott Laboratories,Public,United States,1888,Active,NYSE,95.84,199109.00,115000.00,"22,323.00","6,905.00",3.94,3.91,"1,737.80","17,946.00","10,170.00",21.11,"15,465.00","74,438.00","4,495.00","1,777.00",1.75,28.05,19.05,26.55,1.44,1.34
0VR5Y5-E,Linde Plc,Public,United Kingdom,1879,Active,NASDAQ,392.51,197534.00,65010.00,"9,710.00","4,147.00",8.30,8.23,492.46,"18,791.00","5,436.00",81.28,"12,852.00","79,658.00","3,347.00","3,173.00",1.43,39.64,9.87,26.60,1.70,8.35
0D4BBG-E,"T-Mobile US, Inc.",Public,United States,1994,Active,NASDAQ,147.49,191004.00,71000.00,"33,908.00","2,590.00",2.07,2.06,"1,233.96","111,792.00","4,507.00",56.45,"101,955.00","232,689.00","2,811.00","17,301.00",0.00,67.86,3.73,4.12,2.91,-0.68
000RGR-E,Wells Fargo & Co.,Public,United States,1852,Active,NYSE,41.62,174755.00,-,-,"19,142.00",4.88,4.83,"3,598.86","297,147.00",-,46.21,"207,588.00","1,932,468.00",-,-,2.64,10.19,10.47,-,-,48.19
05LL2F-E,Comcast Corp.,Public,United States,1963,Active,NASDAQ,43.18,174487.00,186000.00,"69,393.00","5,370.00",1.22,1.21,"4,220.12","106,765.00","4,770.00",19.18,"104,347.00","257,275.00","11,046.00","13,767.00",3.09,28.85,6.07,5.81,2.74,4.33
0011HX-E,"Intuit, Inc.",Public,United States,1983,Active,NASDAQ,498.51,174171.00,18200.00,"10,742.00","2,384.00",8.48,8.42,280.42,"6,689.00","3,662.00",61.58,"6,600.00","27,780.00","3,897.00",260.00,0.61,60.74,14.14,12.67,1.55,12.90
000FHS-E,Danaher Corp.,Public,United States,1984,Active,NYSE,197.87,170729.00,81000.00,"18,949.00","7,209.00",9.80,9.66,728.30,"20,739.00","5,995.00",66.48,"19,949.00","84,350.00","6,549.00","1,152.00",0.38,27.47,15.14,40.64,1.80,6.85
000HLG-E,The Walt Disney Co.,Public,United States,1923,Active,NYSE,85.07,170629.00,225000.00,"24,080.00","2,354.00",1.29,1.29,"1,830.00","50,672.00","14,182.00",54.25,"45,565.00","205,579.00","4,897.00","4,969.00",0.00,63.01,2.42,4.80,3.31,7.11
000V67-E,"QUALCOMM, Inc.",Public,United States,1985,Active,NASDAQ,119.52,169890.00,50000.00,"19,951.00","7,339.00",6.47,6.42,"1,114.00","16,067.00","11,324.00",19.37,"15,055.00","51,040.00","6,387.00","1,450.00",2.88,16.77,37.07,8.41,1.47,-18.96
000CQ8-E,"Verizon Communications, Inc.",Public,United States,1983,Active,NYSE,36.02,165347.00,117100.00,"60,603.00","21,256.00",5.06,5.06,"4,199.86","176,331.00","3,948.00",21.70,"162,234.00","379,680.00","3,249.00","26,740.00",6.56,7.79,24.58,5.43,3.17,2.41
000C35-E,"Amgen, Inc.",Public,United States,1980,Active,NASDAQ,269.86,164733.00,25200.00,"19,686.00","6,552.00",12.18,12.11,534.00,"39,640.00","9,305.00",6.86,"37,893.00","65,121.00","4,589.00",936.00,2.95,21.69,126.47,6.28,3.09,0.40
000TBT-E,Pfizer Inc.,Public,United States,1849,Active,NYSE,31.26,159680.00,83000.00,"62,090.00","31,366.00",5.59,5.47,"5,616.00","39,046.00","22,732.00",17.03,"35,481.00","197,205.00","21,008.00","3,236.00",3.14,9.37,36.29,27.57,0.84,23.43
000XNY-E,Texas Instruments Incorporated,Public,United States,1930,Active,NASDAQ,150.23,157710.00,33000.00,"13,771.00","8,709.00",9.51,9.41,906.00,"9,154.00","9,067.00",16.09,"8,579.00","27,207.00","1,626.00","2,797.00",2.84,17.57,62.41,48.58,0.77,9.18
000N1N-E,International Business Machines Corp.,Public,United States,1911,Active,NYSE,147.90,156582.00,311300.00,"31,302.00","1,783.00",1.82,1.80,906.09,"54,013.00","8,841.00",24.22,"48,379.00","127,243.00","3,141.00","1,972.00",4.68,78.42,8.73,8.84,4.05,5.54
000RBW-E,"NIKE, Inc.",Public,United States,1964,Active,NYSE,107.06,154219.00,83700.00,"21,685.00","5,070.00",3.27,3.23,"1,532.00","12,144.00","10,675.00",9.14,"11,713.00","37,531.00","2,860.00",969.00,1.26,32.59,34.63,18.77,1.48,9.40
008L5S-E,"ServiceNow, Inc.",Public,United States,2004,Active,NYSE,606.76,153568.00,20433.00,"5,672.00",325.00,1.61,1.60,202.88,"2,232.00","4,285.00",24.80,"2,136.00","13,299.00","2,173.00",550.00,0.00,243.16,7.45,13.15,2.13,22.88
000Y1Z-E,Union Pacific Corp.,Public,United States,1969,Active,NYSE,212.13,145859.00,30717.00,"11,158.00","6,998.00",11.24,11.21,612.39,"34,957.00","1,029.00",19.86,"32,948.00","66,328.00","2,583.00","3,620.00",2.45,18.46,53.17,7.77,2.74,14.08
000DFY-E,"Caterpillar, Inc.",Public,United States,1925,Active,NYSE,240.75,145232.00,109100.00,"17,004.00","6,705.00",12.73,12.64,516.35,"37,572.00","7,004.00",30.73,"26,142.00","81,943.00","2,727.00","2,599.00",1.97,18.95,41.45,20.59,3.26,16.56
06T26D-E,"Blackstone, Inc.",Public,United States,1985,Active,NYSE,100.90,144031.00,4695.00,"13,449.06","1,747.63",2.36,2.36,"1,206.41","13,460.98","4,493.72",6.35,"13,228.88","42,524.23","-5,566.48",235.50,6.66,31.45,20.47,11.65,3.25,8.14
072GKL-E,"Philip Morris International, Inc.",Public,United States,1847,Active,NYSE,91.52,143318.00,79800.00,"20,127.00","9,024.00",5.82,5.81,"1,550.22","43,559.00","3,217.00",-5.78,"35,311.00","61,681.00","1,914.00","1,077.00",4.98,17.41,-,12.72,3.18,0.58
000KYG-E,General Electric Co.,Public,United States,1878,Active,NYSE,108.92,141284.00,172000.00,"21,286.00",869.00,-0.23,-0.23,"1,089.11","34,743.00","24,871.00",33.39,"30,986.00","187,788.00","3,906.00","1,484.00",0.38,-,2.27,2.52,4.29,3.23
0013TZ-E,Morgan Stanley,Public,United States,1924,Active,NYSE,76.26,140069.00,-,-,"9,087.00",5.24,5.18,"1,627.00","280,695.00",-,55.49,"260,544.00","1,193,693.00",-,-,3.49,18.00,9.12,-,-,45.77
000PLZ-E,"S&P Global, Inc.",Public,United States,1917,Active,NYSE,382.90,140010.00,39950.00,"6,402.00","3,248.00",10.25,10.20,329.00,"11,651.00","1,301.00",110.60,"11,307.00","61,784.00","1,490.00",89.00,0.99,32.84,16.91,11.62,2.46,34.76
000C7R-E,"Applied Materials, Inc.",Public,United States,1967,Active,NASDAQ,139.75,139569.00,34000.00,"12,321.00","6,856.00",8.16,8.11,833.00,"5,999.00","6,869.00",19.63,"5,713.00","30,729.00","6,619.00","1,106.00",0.93,16.18,48.04,33.70,0.70,2.99
0B49NF-E,"Uber Technologies, Inc.",Public,United States,2009,Active,NYSE,47.75,133987.00,32800.00,"9,144.00","-9,141.00",-4.64,-4.65,"2,005.49","11,717.00","4,991.00",3.66,"11,222.00","32,109.00",390.00,252.00,0.00,-,-83.87,-1.86,-,82.62
000Y4G-E,"United Parcel Service, Inc.",Public,United States,1907,Active,NYSE,142.86,133659.00,536000.00,"20,080.00","11,548.00",13.26,13.20,858.80,"23,521.00","7,595.00",23.04,"20,559.00","71,124.00","4,221.00","4,769.00",3.50,13.17,67.85,17.20,1.22,2.91
000BY7-E,American Express Co.,Public,United States,1850,Active,NYSE,152.76,133484.00,77300.00,"35,507.00","7,457.00",9.85,9.84,743.00,"43,921.00","33,596.00",33.26,"34,062.00","229,904.00","17,658.00","1,856.00",1.41,15.01,31.81,10.66,2.97,27.39
002Q2X-E,"Honeywell International, Inc.",Public,United States,1906,Active,NASDAQ,188.99,132364.00,97000.00,"13,614.00","4,966.00",7.33,7.27,668.14,"20,537.00","10,110.00",24.99,"15,898.00","62,275.00","1,789.00",766.00,1.85,29.48,28.16,17.47,2.32,3.10
0021ZC-E,"Intuitive Surgical, Inc.",Public,United States,1995,Active,NASDAQ,278.52,131964.00,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,-,-,-,-,14.49
000CYC-E,The Boeing Co.,Public,United States,1916,Active,NYSE,195.05,130082.00,156000.00,"3,463.00","-4,935.00",-8.30,-8.30,597.59,"58,582.00","17,220.00",-26.58,"53,116.00","137,100.00","2,290.00","1,222.00",0.00,-,-,-1.36,-,6.94
003GNF-E,ConocoPhillips,Public,United States,1875,Active,NYSE,119.75,128086.00,9500.00,"29,628.00","18,620.00",14.62,14.57,"1,223.86","17,188.00","9,243.00",39.22,"16,616.00","93,829.00","12,429.00","10,159.00",4.23,8.10,39.87,23.04,0.50,70.62
000P9L-E,"Lowe's Companies, Inc.",Public,United States,1946,Active,NYSE,194.94,126531.00,307000.00,"30,491.00","6,416.00",10.20,10.17,601.00,"37,994.00","1,732.00",-23.72,"36,388.00","45,273.00","4,390.00","1,829.00",1.83,21.24,-,11.09,2.24,0.84
0029GL-E,"Booking Holdings, Inc.",Public,United States,1997,Active,NASDAQ,2858.75,126180.00,21600.00,"16,483.00","3,058.00",76.70,76.35,37.86,"13,215.00","12,426.00",73.48,"12,569.00","25,361.00","6,186.00",368.00,0.00,26.40,68.26,12.54,2.28,55.96
002615-E,"The Goldman Sachs Group, Inc.",Public,United States,1869,Active,NYSE,327.62,124640.00,-,-,"8,516.00",23.20,22.87,337.10,"642,000.00",-,314.76,"242,000.00","1,642,000.00",-,-,2.72,16.87,7.27,-,-,61.19
0M6FSJ-E,RTX Corp.,Public,United States,1922,Active,NYSE,82.72,122984.00,182000.00,"13,668.00","5,216.00",3.52,3.50,"1,466.24","33,856.00","6,220.00",49.54,"32,280.00","158,864.00","1,752.00","2,925.00",2.14,28.85,7.16,4.07,3.51,4.22
002HJD-E,"BlackRock, Inc.",Public,United States,1988,Active,NYSE,657.97,119819.00,-,"15,176.00","5,502.00",36.85,36.51,148.50,-,-,-,-,-,-,-,2.46,22.24,-,24.08,-,5.35
0BTZL3-E,"Prologis, Inc.",Public,United States,1991,Active,NYSE,106.55,119779.00,-,"3,528.24","3,059.21",3.30,3.29,-,"29,000.50",530.39,-,"29,000.50","93,020.84",-,-,2.61,40.52,-,4.81,4.87,34.31
000X16-E,Stryker Corp.,Public,United States,1941,Active,NYSE,276.22,119699.00,51000.00,"11,040.00","2,358.00",6.23,6.17,378.70,"13,526.00","1,928.00",43.88,"12,214.00","36,884.00",985.00,588.00,1.16,39.63,14.97,11.08,2.76,7.84
069J8N-E,"AT&T, Inc.",Public,United States,1983,Active,NYSE,15.88,119191.00,160700.00,"51,872.00","-8,343.00",-1.22,-1.22,"7,127.59","158,226.00","3,740.00",13.68,"147,082.00","402,853.00","2,538.00","19,626.00",6.03,-,-6.32,3.70,3.29,-9.92
000KQ5-E,"NextEra Energy, Inc.",Public,United States,1925,Active,NYSE,59.38,117481.00,15300.00,"11,276.00","4,147.00",2.10,2.10,"1,987.00","65,366.00","1,634.00",19.74,"55,656.00","158,935.00","-4,832.00","9,742.00",2.03,39.89,10.85,4.82,4.64,25.06
0DRH2W-E,Medtronic Plc,Public,Ireland,2014,Active,NYSE,72.56,115001.00,95000.00,"18,904.00","3,758.00",2.83,2.82,"1,330.81","25,413.00","7,959.00",38.69,"25,213.00","90,948.00",964.00,"1,459.00",2.99,32.26,7.22,9.45,2.97,-1.45
000P7N-E,Lockheed Martin Corp.,Public,United States,1912,Active,NYSE,453.34,113570.00,116000.00,"10,410.00","5,732.00",21.74,21.66,254.00,"16,646.00","2,547.00",36.48,"16,345.00","52,880.00","3,116.00","1,670.00",2.34,22.46,56.68,13.98,1.53,-1.58
000VSF-E,The Charles Schwab Corp.,Public,United States,1986,Active,NYSE,55.83,113047.00,-,"17,678.00","5,067.00",2.55,2.54,-,"59,100.00","75,100.00",-,"26,100.00","493,200.00",-,-,1.45,27.09,13.06,6.16,6.60,14.41
000YJB-E,"Vertex Pharmaceuticals, Inc.",Public,United States,1989,Active,NASDAQ,376.20,112097.00,4800.00,"7,667.90","3,322.00",12.97,12.82,257.01,899.70,"10,786.50",54.13,810.30,"18,150.90","3,925.20",204.70,0.00,22.52,27.67,74.46,0.11,15.04
060W5N-E,"Elevance Health, Inc.",Public,United States,1944,Active,NYSE,449.86,109164.00,102300.00,-,"6,025.00",25.10,24.81,237.96,"25,046.00",-,152.58,"23,100.00","102,772.00","6,018.00","1,152.00",1.00,20.67,16.65,-,-,12.95
000NYZ-E,Lam Research Corp.,Public,United States,1980,Active,NASDAQ,634.08,108902.00,17200.00,"7,850.28","4,510.93",33.30,33.21,133.30,"5,249.11","5,374.70",61.59,"5,176.07","18,781.64","3,769.46",501.57,1.13,18.33,62.27,28.37,0.89,1.42
000XRR-E,"The TJX Cos., Inc.",Public,United States,1962,Active,NYSE,91.00,108839.00,329000.00,"13,670.00","3,498.00",3.00,2.97,"1,155.44","12,744.00","5,477.00",5.51,"10,634.00","28,349.00","1,288.00","1,457.00",1.44,27.58,56.57,51.99,0.60,2.85
000L1R-E,"Gilead Sciences, Inc.",Public,United States,1987,Active,NASDAQ,81.59,108767.00,17000.00,"21,428.00","4,592.00",3.66,3.64,"1,247.00","25,230.00","6,858.00",17.03,"22,957.00","63,171.00","4,635.00",728.00,3.40,23.59,21.71,11.50,1.96,-1.05
000FMM-E,Deere & Co.,Public,United States,1837,Active,NYSE,382.20,107158.00,83000.00,"23,498.00","10,166.00",34.79,34.63,281.58,"63,692.00","8,404.00",77.37,"38,477.00","104,087.00","2,694.00","4,468.00",1.40,10.43,48.36,7.62,3.66,16.59
0078TM-E,"Palo Alto Networks, Inc.",Public,United States,2005,Active,NASDAQ,243.53,106489.00,13948.00,"4,983.00",439.70,1.45,1.28,308.30,"2,270.70","2,396.90",5.67,279.20,"14,501.10","2,631.20",146.30,0.00,194.58,44.90,14.24,2.77,25.29
000WW4-E,Starbucks Corp.,Public,United States,1985,Active,NASDAQ,102.65,106270.00,381000.00,"7,815.70","4,124.50",3.60,3.58,"1,142.60","24,599.80","3,953.00",-7.00,"21,472.40","29,445.50","1,243.30","2,333.60",2.32,25.48,-,9.75,2.26,11.55
000D1R-E,Bristol Myers Squibb Co.,Public,United States,1933,Active,NYSE,52.82,101962.00,34300.00,"26,490.00","6,327.00",2.97,2.95,"2,098.00","40,717.00","9,401.00",14.81,"36,317.00","96,820.00","7,314.00","1,118.00",3.04,24.40,18.88,7.53,2.01,-0.49
000VC1-E,"Regeneron Pharmaceuticals, Inc.",Public,United States,1988,Active,NASDAQ,816.90,101691.00,11851.00,"10,271.10","4,338.40",40.51,38.22,109.60,"2,701.40","7,742.30",206.79,"2,701.40","29,272.70","4,424.80","1,616.90",0.00,18.88,20.94,87.36,0.49,-24.26
000TSD-E,Progressive Corp.,Public,United States,1937,Active,NYSE,156.21,99538.90,55063.00,-,721.50,1.19,1.18,584.90,"6,525.50",-,26.32,"6,525.50","70,233.90","6,296.00",292.00,0.31,109.64,4.23,-,-,4.01
002RNG-E,"Mondelez International, Inc.",Public,United States,1903,Active,NASDAQ,68.82,99141.60,91000.00,"10,906.00","2,717.00",1.97,1.96,"1,365.89","23,613.00","1,948.00",19.68,"20,765.00","71,161.00","1,017.00",906.00,2.21,33.98,9.85,8.92,4.66,9.67
0027L0-E,"Citigroup, Inc.",Public,United States,1812,Active,NYSE,42.26,98603.10,-,-,"9,229.00",4.16,4.11,"1,937.00","593,233.00",-,96.98,"286,619.00","2,405,306.00",-,-,4.04,12.53,4.54,-,-,54.68
000PH0-E,"Marsh & McLennan Cos., Inc.",Public,United States,1871,Active,NYSE,193.93,98170.60,85000.00,-,"3,050.00",6.11,6.04,494.79,"13,472.00","1,442.00",21.26,"12,894.00","33,454.00","2,180.00",470.00,1.39,27.40,28.33,10.55,2.03,4.33
000CFX-E,"Automatic Data Processing, Inc.",Public,United States,1949,Active,NASDAQ,219.31,97989.30,63000.00,"8,805.50","3,412.00",8.25,8.21,412.10,"3,541.00","2,098.20",8.52,"3,338.90","50,971.00","2,097.70",571.60,2.18,26.78,101.33,17.49,0.61,9.18
00DZZ3-E,Eaton Corp. Plc,Public,Ireland,1911,Active,NYSE,214.79,97668.80,91924.00,"6,906.00","2,461.00",6.18,6.14,397.80,"9,241.00",555.00,42.83,"8,780.00","35,014.00",636.00,598.00,2.06,25.55,14.71,36.83,2.06,5.73
